timestamps,TP9,AF7,AF8,TP10,Right AUX
1722219902.140,-76.172,-852.539,-116.211,-63.477,0.000
1722219902.144,-77.637,-316.895,35.645,-62.988,0.000
1722219902.148,-56.641,-130.859,27.832,-74.707,0.000
1722219902.152,-56.152,-520.020,-46.387,-84.473,0.000
1722219902.156,-80.078,-553.711,-33.203,-82.031,0.000
1722219902.160,-80.566,-244.629,-6.348,-58.105,0.000
1722219902.164,-47.852,-436.523,-37.598,-51.758,0.000
1722219902.167,-46.875,-687.012,-42.969,-72.754,0.000
1722219902.171,-74.219,-551.758,-27.344,-79.102,0.000
1722219902.175,-81.543,-708.984,-54.688,-68.848,0.000
1722219902.179,-61.035,-847.168,-46.875,-70.801,0.000
1722219902.183,-56.152,-830.566,-82.520,-76.660,0.000
1722219902.187,-66.406,-591.797,-32.715,-87.402,0.000
1722219902.191,-75.195,-244.141,36.621,-88.379,0.000
1722219902.194,-60.059,-408.203,-23.926,-74.219,0.000
1722219902.198,-41.504,-643.066,-52.246,-87.891,0.000
1722219902.203,-45.898,-409.180,-10.742,-102.539,0.000
1722219902.207,-54.688,-305.176,-22.461,-89.844,0.000
1722219902.210,-49.805,-580.078,-60.059,-77.148,0.000
1722219902.214,-35.156,-599.121,-49.316,-77.637,0.000
1722219902.218,-41.016,-412.598,-35.645,-83.984,0.000
1722219902.222,-58.594,-762.695,-65.430,-77.637,0.000
1722219902.226,-66.406,-1000.000,-114.746,-62.988,0.000
1722219902.230,-50.781,-804.199,-89.844,-62.012,0.000
1722219902.234,-49.316,-316.406,26.855,-84.961,0.000
1722219902.237,-65.430,-270.508,-7.812,-97.656,0.000
1722219902.241,-79.102,-622.070,-43.457,-83.496,0.000
1722219902.245,-67.871,-499.023,-1.465,-67.871,0.000
1722219902.249,-52.246,-189.453,7.812,-83.496,0.000
1722219902.253,-57.617,-376.465,-36.621,-96.191,0.000
1722219902.257,-69.824,-682.129,-53.223,-74.707,0.000
1722219902.261,-69.336,-462.891,-1.953,-58.594,0.000
1722219902.265,-55.664,-274.414,-12.695,-70.312,0.000
1722219902.269,-59.570,-696.777,-76.172,-84.961,0.000
1722219902.273,-74.707,-944.824,-134.766,-79.590,0.000
1722219902.277,-80.566,-859.863,-76.660,-72.754,0.000
1722219902.280,-61.035,-508.789,20.508,-74.219,0.000
1722219902.284,-41.992,-424.316,-21.484,-74.219,0.000
