timestamps,TP9,AF7,AF8,TP10,Right AUX
1722219704.023,-55.176,-46.387,-34.180,-55.176,0.000
1722219704.027,-60.547,-41.016,-47.852,-67.383,0.000
1722219704.031,-57.617,-40.039,-49.316,-76.660,0.000
1722219704.035,-62.500,-48.340,-48.340,-87.891,0.000
1722219704.039,-76.660,-46.387,-43.945,-83.984,0.000
1722219704.043,-63.965,-34.180,-41.992,-60.059,0.000
1722219704.047,-46.875,-30.273,-38.086,-55.176,0.000
1722219704.051,-53.711,-32.227,-36.133,-70.801,0.000
1722219704.055,-69.336,-33.203,-42.480,-65.430,0.000
1722219704.059,-54.688,-31.250,-43.457,-49.805,0.000
1722219704.063,-39.062,-34.180,-39.551,-56.152,0.000
1722219704.066,-53.223,-35.156,-31.738,-61.523,0.000
1722219704.070,-74.707,-36.621,-35.645,-70.801,0.000
1722219704.074,-72.754,-43.457,-45.898,-68.848,0.000
1722219704.078,-49.805,-39.062,-43.457,-57.129,0.000
1722219704.082,-51.758,-37.598,-39.062,-69.336,0.000
1722219704.086,-70.312,-44.434,-47.852,-79.590,0.000
1722219704.090,-65.918,-41.016,-49.805,-71.777,0.000
1722219704.094,-41.992,-34.668,-41.504,-68.848,0.000
1722219704.098,-44.922,-37.598,-40.527,-77.148,0.000
1722219704.102,-60.059,-41.016,-44.434,-80.078,0.000
1722219704.106,-60.547,-34.668,-47.852,-63.477,0.000
1722219704.109,-46.387,-31.738,-36.133,-40.527,0.000
1722219704.113,-36.621,-37.109,-28.809,-55.664,0.000
1722219704.117,-49.316,-37.598,-41.016,-78.613,0.000
1722219704.121,-62.988,-36.133,-40.527,-69.336,0.000
1722219704.125,-52.246,-33.203,-35.156,-59.570,0.000
1722219704.129,-30.762,-27.344,-35.156,-56.152,0.000
1722219704.133,-42.480,-31.738,-43.945,-82.031,0.000
1722219704.137,-56.641,-35.645,-45.898,-103.027,0.000
1722219704.141,-43.457,-33.691,-44.434,-86.914,0.000
1722219704.145,-30.762,-33.691,-47.363,-76.172,0.000
1722219704.149,-35.645,-32.227,-41.992,-72.266,0.000
1722219704.152,-57.129,-34.180,-43.945,-72.754,0.000
1722219704.156,-57.617,-34.180,-42.480,-56.152,0.000
1722219704.160,-47.363,-36.133,-44.922,-48.828,0.000
1722219704.164,-59.570,-40.527,-49.805,-76.172,0.000
1722219704.168,-72.266,-43.457,-40.527,-86.426,0.000
1722219704.172,-71.777,-40.039,-36.621,-76.172,0.000
1722219704.176,-59.570,-37.109,-36.621,-59.082,0.000
1722219704.180,-52.734,-43.945,-43.945,-67.383,0.000
1722219704.184,-56.152,-42.969,-44.434,-79.102,0.000
1722219704.188,-63.965,-36.621,-41.016,-60.059,0.000
1722219704.192,-61.523,-40.527,-43.457,-51.270,0.000
1722219704.195,-48.828,-41.992,-40.039,-60.547,0.000
1722219704.199,-48.828,-41.992,-34.668,-72.754,0.000
1722219704.203,-62.988,-44.922,-29.785,-72.754,0.000
1722219704.207,-69.336,-42.480,-43.457,-69.336,0.000
1722219704.211,-57.129,-38.574,-44.922,-71.289,0.000
1722219704.215,-60.059,-35.156,-39.062,-79.590,0.000
1722219704.219,-72.266,-30.273,-46.387,-84.961,0.000
1722219704.223,-69.824,-35.156,-52.734,-67.383,0.000
1722219704.227,-43.457,-45.410,-41.992,-55.176,0.000
1722219704.231,-42.969,-39.551,-30.273,-66.406,0.000
1722219704.235,-57.617,-29.297,-30.762,-68.848,0.000
1722219704.238,-57.129,-32.715,-34.180,-57.129,0.000
1722219704.242,-43.457,-33.691,-40.039,-51.758,0.000
1722219704.246,-23.926,-33.203,-41.504,-65.430,0.000
1722219704.250,-45.410,-39.551,-36.133,-83.008,0.000
